Hour,Forecast_Solar,Forecast_Wind
1,-0.0016603693,0.29789066
2,-0.0042216703,0.33457354
3,-0.007473603,0.3837446
4,-0.010033511,0.43886566
5,-0.0067781173,0.48888767
6,0.011022927,0.52452826
7,0.08783063,0.54158026
8,0.20893338,0.55922997
9,0.33732286,0.5771296
10,0.43180507,0.59271926
11,0.48129356,0.5980671
12,0.49068946,0.59381753
13,0.46205425,0.5878342
14,0.39273393,0.5848669
15,0.2880589,0.582205
16,0.15863219,0.576279
17,0.028844906,0.55903214
18,-0.005376816,0.54030186
19,-0.0065976456,0.5348782
20,-0.0044418573,0.5369798
21,-0.005211115,0.5378768
22,-0.0032846257,0.5369296
23,0.00051736087,0.5394967
24,0.0024521276,0.5492633
